years,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 & over,all_ages
2018,3914,4139,3859,3669,4185,4527,4463,4372,3993,4507,4674,4294,3673,3396,3252,2236,1673,1024,448,123,13,66436
2019,3854,4153,3956,3652,4152,4522,4503,4400,4021,4405,4661,4408,3758,3371,3320,2326,1716,1041,459,128,13,66819
2020,3777,4151,4048,3674,4109,4480,4529,4414,4096,4310,4617,4513,3862,3363,3370,2414,1740,1061,471,128,16,67143
2021,3674,4133,4126,3742,4041,4416,4569,4426,4185,4179,4602,4577,3974,3395,3390,2530,1737,1082,484,130,17,67409
2022,3572,4078,4199,3845,3949,4363,4596,4436,4282,4061,4557,4612,4089,3459,3243,2768,1761,1109,496,132,18,67626
2023,3476,4023,4219,3964,3886,4312,4569,4467,4365,3991,4488,4617,4196,3533,3175,2897,1819,1143,506,133,18,67798
2024,3393,3956,4228,4054,3848,4250,4544,4495,4386,4013,4383,4602,4306,3614,3153,2960,1898,1174,515,136,19,67927
2025,3319,3871,4221,4140,3849,4178,4483,4508,4391,4083,4286,4557,4408,3713,3147,3005,1974,1194,529,141,19,68014
2026,3257,3763,4199,4213,3902,4086,4403,4539,4397,4167,4154,4541,4469,3821,3179,3023,2072,1194,544,146,19,68087
2027,3207,3657,4141,4284,3996,3977,4338,4558,4403,4259,4036,4496,4504,3933,3240,2897,2275,1217,562,150,19,68148
2028,3169,3558,4084,4302,4108,3902,4278,4527,4430,4340,3966,4428,4509,4037,3312,2842,2387,1265,583,154,20,68199
2029,3141,3474,4016,4310,4196,3858,4211,4500,4457,4360,3987,4325,4496,4144,3391,2827,2442,1329,602,158,20,68243
2030,3121,3400,3931,4303,4282,3858,4139,4439,4470,4366,4057,4230,4453,4244,3487,2827,2481,1388,615,164,21,68278
2031,3110,3337,3823,4281,4355,3912,4048,4359,4501,4372,4141,4102,4440,4306,3592,2860,2497,1460,618,171,22,68307
2032,3106,3288,3717,4224,4426,4006,3939,4294,4521,4378,4233,3986,4398,4342,3701,2920,2402,1615,635,179,23,68330
2033,3106,3250,3618,4166,4444,4118,3864,4234,4490,4406,4314,3918,4333,4349,3802,2990,2365,1701,667,188,24,68349
2034,3110,3222,3534,4098,4452,4206,3821,4169,4463,4432,4333,3941,4234,4339,3907,3067,2361,1745,709,196,25,68363
2035,3117,3202,3460,4014,4445,4292,3822,4097,4402,4446,4340,4011,4144,4301,4005,3159,2367,1775,747,202,26,68375
